"","d0_Old_R1","d0_Old_R3","d0_Old_R4","d0_Y_R5","d0_Y_R6","d0_Y_R7","d0_Y_R8","d1_Old_R1","d1_Old_R2","d1_Y_R3","d1_Y_R4","d1_Y_R5","d1_Y_R6","d3_Old_R1","d3_Old_R2","d3_Y_R1","d3_Y_R2","d3_Y_R3","d5_Old_R1","d5_Old_R2","d5_Y_R1","d5_Y_R2","d5_Y_R3","d7_Old_R1","d7_Old_R2","d7_Y_R1","d7_Y_R2"
"d0_Old_R1",1,0.95413549623559,0.952257125186488,0.951156145358433,0.885807303812149,0.928352690691808,0.954319019666377,0.897869726055718,0.895410681522688,0.907692086310482,0.915679210875058,0.888470405208673,0.911484899621991,0.879435032090392,0.879435032090392,0.880564633161453,0.879753164731663,0.856710502134739,0.909684862659869,0.903387474151293,0.917632362200993,0.898075965173552,0.908627281595907,0.899143059199549,0.905087824259677,0.887002098340298,0.868495986274731
"d0_Old_R3",0.95413549623559,1,0.948523075685377,0.942114275735585,0.885620942585652,0.912618181368053,0.94062060997171,0.879640308026635,0.878591147063465,0.887636969563549,0.887974024523504,0.885049685589132,0.891295650620581,0.871652047780763,0.871652047780763,0.865320355472396,0.860923384641743,0.850345638369626,0.888352022725559,0.882999979501904,0.891522633131621,0.86613473678282,0.872162721686243,0.894266600572983,0.897691080530003,0.860665707732275,0.860553705499357
"d0_Old_R4",0.952257125186488,0.948523075685377,1,0.941761905967197,0.888009601196208,0.91358773459477,0.940224483469051,0.88658762430336,0.884752782192646,0.892320668370274,0.886991328799193,0.886429532025849,0.896948071014901,0.870867591212615,0.870867591212615,0.86417598084741,0.860073236538306,0.848464328666319,0.895536303297435,0.88882751239059,0.899360427762476,0.868135012332575,0.877711623387295,0.899641509087896,0.904141082818832,0.8629248514797,0.864267223727926
"d0_Y_R5",0.951156145358433,0.942114275735585,0.941761905967197,1,0.894026060403023,0.964301528390677,0.969390737415867,0.877354809128536,0.869010312733443,0.932319512615169,0.937056038330523,0.920901481608163,0.935094103216819,0.870885027493908,0.870885027493908,0.909689346971319,0.907967317165971,0.879522099348122,0.899751209449932,0.890988240229813,0.938846446719814,0.921044652650287,0.927019879002316,0.905884407908098,0.910919777251858,0.900940412096557,0.872573592726178
"d0_Y_R6",0.885807303812149,0.885620942585652,0.888009601196208,0.894026060403023,1,0.838176567527776,0.900344240893616,0.825493135578649,0.818279406042163,0.844116357176994,0.846439287192995,0.86813582097846,0.847086091534829,0.818380081876785,0.818380081876785,0.825639792502479,0.824296292447864,0.817584330088442,0.8620959979469,0.85852725659213,0.858842061721323,0.836965712421105,0.865171967052245,0.82928400608703,0.832962279474759,0.868969745318259,0.841880579041248
"d0_Y_R7",0.928352690691808,0.912618181368053,0.91358773459477,0.964301528390677,0.838176567527776,1,0.955296162255561,0.881831687354206,0.878962448276324,0.916554798663628,0.918633312966265,0.861055816767573,0.919017209727018,0.863416163583884,0.863416163583884,0.899422997176603,0.899544561838786,0.853957930329262,0.869498262806111,0.860456179832041,0.921433761040629,0.906977449077868,0.909053882879542,0.882444537446977,0.887744386466014,0.879084259054387,0.875548328368554
"d0_Y_R8",0.954319019666377,0.94062060997171,0.940224483469051,0.969390737415867,0.900344240893616,0.955296162255561,1,0.867362138513025,0.863440520894017,0.916610840381454,0.909733203482202,0.882343227174656,0.920421156879204,0.85375874880889,0.85375874880889,0.893960436880032,0.891240693611289,0.850072284628472,0.86969879437375,0.85927346642521,0.921283564268762,0.890192473351948,0.902781220660201,0.870678102008999,0.877150828301693,0.889384211871368,0.871117809377108
"d1_Old_R1",0.897869726055718,0.879640308026635,0.88658762430336,0.877354809128536,0.825493135578649,0.881831687354206,0.867362138513025,1,0.924029632570354,0.909459530529615,0.911215651782846,0.872830414050785,0.909210786926987,0.893582500603072,0.893582500603072,0.875933851535288,0.875868132165294,0.871438679744243,0.896916279100507,0.894101325460613,0.894816198589089,0.876195559760599,0.893210354929769,0.891345934579919,0.890366821616041,0.880389716948679,0.882100173502649
"d1_Old_R2",0.895410681522688,0.878591147063465,0.884752782192646,0.869010312733443,0.818279406042163,0.878962448276324,0.863440520894017,0.924029632570354,1,0.904784929870594,0.905178831003312,0.867426036050458,0.905132136430492,0.892815147048015,0.892815147048015,0.870016449141239,0.868590270923027,0.862329281670712,0.893852418497186,0.893067760754534,0.889848612930734,0.873999784874861,0.887631028960585,0.881793553807143,0.881212301978832,0.872334630661993,0.886361506127936
"d1_Y_R3",0.907692086310482,0.887636969563549,0.892320668370274,0.932319512615169,0.844116357176994,0.916554798663628,0.916610840381454,0.909459530529615,0.904784929870594,1,0.947894227099429,0.940734025033544,0.961263383768956,0.886904104857423,0.886904104857423,0.917873138743451,0.918697460165924,0.878215638836738,0.894252192537727,0.888490881027101,0.925749150696343,0.921118830224925,0.922537414000757,0.90416430853084,0.906686284435658,0.910857076379118,0.890031428466869
"d1_Y_R4",0.915679210875058,0.887974024523504,0.886991328799193,0.937056038330523,0.846439287192995,0.918633312966265,0.909733203482202,0.911215651782846,0.905178831003312,0.947894227099429,1,0.947832696690821,0.951675440773538,0.890918882261751,0.890918882261751,0.918996087295201,0.917208787498128,0.88200833024447,0.90721619641957,0.898302397418248,0.939824747791643,0.917416681132135,0.933355547591943,0.910397027042862,0.915804663837661,0.904313808611439,0.895909507728475
"d1_Y_R5",0.888470405208673,0.885049685589132,0.886429532025849,0.920901481608163,0.86813582097846,0.861055816767573,0.882343227174656,0.872830414050785,0.867426036050458,0.940734025033544,0.947832696690821,1,0.938026507980683,0.883235874957431,0.883235874957431,0.904309061436779,0.905323084254526,0.88273278370885,0.903860579219171,0.90374392957843,0.908512831311032,0.914294455676698,0.91335472914316,0.912636965084761,0.912393727419773,0.893124896739847,0.875693801358726
"d1_Y_R6",0.911484899621991,0.891295650620581,0.896948071014901,0.935094103216819,0.847086091534829,0.919017209727018,0.920421156879204,0.909210786926987,0.905132136430492,0.961263383768956,0.951675440773538,0.938026507980683,1,0.886112468103307,0.886112468103307,0.917278248098757,0.919060086954098,0.876868758129916,0.89779013518003,0.892254179137063,0.928018957002137,0.924886963499647,0.927162990861865,0.904885913475848,0.90833570817924,0.912585558049123,0.890688833302819
"d3_Old_R1",0.879435032090392,0.871652047780763,0.870867591212615,0.870885027493908,0.818380081876785,0.863416163583884,0.85375874880889,0.893582500603072,0.892815147048015,0.886904104857423,0.890918882261751,0.883235874957431,0.886112468103307,1,1,0.94369157305085,0.948997496854435,0.902699098940435,0.87846238455021,0.883478936702151,0.880808910633726,0.871964999088526,0.881827533475322,0.87781768111645,0.875394865522779,0.87898486151187,0.861657725662456
"d3_Old_R2",0.879435032090392,0.871652047780763,0.870867591212615,0.870885027493908,0.818380081876785,0.863416163583884,0.85375874880889,0.893582500603072,0.892815147048015,0.886904104857423,0.890918882261751,0.883235874957431,0.886112468103307,1,1,0.94369157305085,0.948997496854435,0.902699098940435,0.87846238455021,0.883478936702151,0.880808910633726,0.871964999088526,0.881827533475322,0.87781768111645,0.875394865522779,0.87898486151187,0.861657725662456
"d3_Y_R1",0.880564633161453,0.865320355472396,0.86417598084741,0.909689346971319,0.825639792502479,0.899422997176603,0.893960436880032,0.875933851535288,0.870016449141239,0.917873138743451,0.918996087295201,0.904309061436779,0.917278248098757,0.94369157305085,0.94369157305085,1,0.943116518788511,0.913710521646346,0.875840778429255,0.873003878526194,0.911842567402161,0.906630426287422,0.910496420572943,0.880638725227687,0.881554143733378,0.894219188513891,0.870700502902946
"d3_Y_R2",0.879753164731663,0.860923384641743,0.860073236538306,0.907967317165971,0.824296292447864,0.899544561838786,0.891240693611289,0.875868132165294,0.868590270923027,0.918697460165924,0.917208787498128,0.905323084254526,0.919060086954098,0.948997496854435,0.948997496854435,0.943116518788511,1,0.91442074761985,0.875681397418666,0.873153352829878,0.914140457656673,0.902824492897176,0.911393412093057,0.879172378816227,0.880894083291558,0.89236328625734,0.869791755320674
"d3_Y_R3",0.856710502134739,0.850345638369626,0.848464328666319,0.879522099348122,0.817584330088442,0.853957930329262,0.850072284628472,0.871438679744243,0.862329281670712,0.878215638836738,0.88200833024447,0.88273278370885,0.876868758129916,0.902699098940435,0.902699098940435,0.913710521646346,0.91442074761985,1,0.864268679471552,0.866851176204067,0.878720678210666,0.872450258554106,0.875673210896922,0.880635109706969,0.878485670822226,0.87227298904266,0.851991026745318
"d5_Old_R1",0.909684862659869,0.888352022725559,0.895536303297435,0.899751209449932,0.8620959979469,0.869498262806111,0.86969879437375,0.896916279100507,0.893852418497186,0.894252192537727,0.90721619641957,0.903860579219171,0.89779013518003,0.87846238455021,0.87846238455021,0.875840778429255,0.875681397418666,0.864268679471552,1,0.970582202217242,0.952547682731835,0.954910601833813,0.966960119534213,0.908449212209139,0.913895233594004,0.885250075793239,0.880516391058283
"d5_Old_R2",0.903387474151293,0.882999979501904,0.88882751239059,0.890988240229813,0.85852725659213,0.860456179832041,0.85927346642521,0.894101325460613,0.893067760754534,0.888490881027101,0.898302397418248,0.90374392957843,0.892254179137063,0.883478936702151,0.883478936702151,0.873003878526194,0.873153352829878,0.866851176204067,0.970582202217242,1,0.949819446969482,0.950152959659637,0.962432425943541,0.907681242450208,0.91246308376321,0.881088918763178,0.876018396271159
"d5_Y_R1",0.917632362200993,0.891522633131621,0.899360427762476,0.938846446719814,0.858842061721323,0.921433761040629,0.921283564268762,0.894816198589089,0.889848612930734,0.925749150696343,0.939824747791643,0.908512831311032,0.928018957002137,0.880808910633726,0.880808910633726,0.911842567402161,0.914140457656673,0.878720678210666,0.952547682731835,0.949819446969482,1,0.962191729294034,0.983858018363893,0.904268124200086,0.910399477585518,0.905038705446625,0.888736222151822
"d5_Y_R2",0.898075965173552,0.86613473678282,0.868135012332575,0.921044652650287,0.836965712421105,0.906977449077868,0.890192473351948,0.876195559760599,0.873999784874861,0.921118830224925,0.917416681132135,0.914294455676698,0.924886963499647,0.871964999088526,0.871964999088526,0.906630426287422,0.902824492897176,0.872450258554106,0.954910601833813,0.950152959659637,0.962191729294034,1,0.983784155289891,0.895731965691979,0.903333941315517,0.880857990471194,0.892415629826694
"d5_Y_R3",0.908627281595907,0.872162721686243,0.877711623387295,0.927019879002316,0.865171967052245,0.909053882879542,0.902781220660201,0.893210354929769,0.887631028960585,0.922537414000757,0.933355547591943,0.91335472914316,0.927162990861865,0.881827533475322,0.881827533475322,0.910496420572943,0.911393412093057,0.875673210896922,0.966960119534213,0.962432425943541,0.983858018363893,0.983784155289891,1,0.896521393336816,0.902691891592916,0.91189993211811,0.890780217616316
"d7_Old_R1",0.899143059199549,0.894266600572983,0.899641509087896,0.905884407908098,0.82928400608703,0.882444537446977,0.870678102008999,0.891345934579919,0.881793553807143,0.90416430853084,0.910397027042862,0.912636965084761,0.904885913475848,0.87781768111645,0.87781768111645,0.880638725227687,0.879172378816227,0.880635109706969,0.908449212209139,0.907681242450208,0.904268124200086,0.895731965691979,0.896521393336816,1,0.965768234410317,0.908662629229308,0.894466733248446
"d7_Old_R2",0.905087824259677,0.897691080530003,0.904141082818832,0.910919777251858,0.832962279474759,0.887744386466014,0.877150828301693,0.890366821616041,0.881212301978832,0.906686284435658,0.915804663837661,0.912393727419773,0.90833570817924,0.875394865522779,0.875394865522779,0.881554143733378,0.880894083291558,0.878485670822226,0.913895233594004,0.91246308376321,0.910399477585518,0.903333941315517,0.902691891592916,0.965768234410317,1,0.909092293432753,0.896115743654933
"d7_Y_R1",0.887002098340298,0.860665707732275,0.8629248514797,0.900940412096557,0.868969745318259,0.879084259054387,0.889384211871368,0.880389716948679,0.872334630661993,0.910857076379118,0.904313808611439,0.893124896739847,0.912585558049123,0.87898486151187,0.87898486151187,0.894219188513891,0.89236328625734,0.87227298904266,0.885250075793239,0.881088918763178,0.905038705446625,0.880857990471194,0.91189993211811,0.908662629229308,0.909092293432753,1,0.869249990835215
"d7_Y_R2",0.868495986274731,0.860553705499357,0.864267223727926,0.872573592726178,0.841880579041248,0.875548328368554,0.871117809377108,0.882100173502649,0.886361506127936,0.890031428466869,0.895909507728475,0.875693801358726,0.890688833302819,0.861657725662456,0.861657725662456,0.870700502902946,0.869791755320674,0.851991026745318,0.880516391058283,0.876018396271159,0.888736222151822,0.892415629826694,0.890780217616316,0.894466733248446,0.896115743654933,0.869249990835215,1
